{ Units, Wavelength Units } SI Nanometers
{ Thickness } 3
{ Conductivity } 0.2
{ IR Transmittance } TIR=0
{ Emissivity, front back } Emis= 0.04 0.9
{ Manufacturer: Roehm }
{ Type: Coated }
{ Coated Side: Front }
{ Material: PMMA }

204 0.003 0.080 0.046
209 0.003 0.122 0.046
213 0.003 0.166 0.046
218 0.004 0.207 0.046
223 0.004 0.240 0.046
227 0.004 0.263 0.046
232 0.005 0.274 0.046
236 0.006 0.272 0.046
241 0.007 0.248 0.046
246 0.007 0.228 0.046
250 0.009 0.195 0.046
255 0.010 0.154 0.046
259 0.011 0.108 0.046
264 0.013 0.065 0.046
269 0.014 0.030 0.046
273 0.015 0.010 0.046
278 0.016 0.006 0.046
282 0.017 0.019 0.046
287 0.017 0.045 0.046
292 0.018 0.079 0.046
296 0.018 0.110 0.046
301 0.018 0.159 0.046
306 0.018 0.201 0.046
310 0.018 0.235 0.046
315 0.019 0.261 0.046
319 0.019 0.279 0.046
324 0.015 0.290 0.046
329 0.012 0.296 0.046
333 0.010 0.296 0.046
338 0.009 0.292 0.045
342 0.010 0.284 0.045
347 0.013 0.272 0.045
352 0.019 0.258 0.045
356 0.033 0.242 0.046
361 0.060 0.223 0.047
365 0.106 0.204 0.050
370 0.205 0.185 0.062
375 0.342 0.168 0.086
379 0.487 0.154 0.114
384 0.608 0.141 0.134
388 0.687 0.127 0.138
393 0.741 0.113 0.134
398 0.774 0.100 0.124
402 0.796 0.087 0.113
407 0.811 0.076 0.102
412 0.824 0.067 0.092
416 0.835 0.059 0.083
421 0.843 0.052 0.075
425 0.849 0.047 0.069
430 0.855 0.043 0.063
435 0.859 0.040 0.059
439 0.861 0.038 0.055
444 0.864 0.037 0.052
448 0.865 0.036 0.050
453 0.866 0.036 0.048
458 0.866 0.036 0.047
462 0.867 0.036 0.046
467 0.867 0.037 0.045
471 0.866 0.038 0.045
476 0.866 0.039 0.044
481 0.865 0.039 0.044
485 0.864 0.040 0.044
490 0.863 0.041 0.044
494 0.863 0.042 0.044
499 0.862 0.043 0.044
504 0.861 0.044 0.044
508 0.860 0.045 0.044
513 0.859 0.046 0.045
518 0.859 0.046 0.045
522 0.858 0.047 0.045
527 0.857 0.048 0.046
531 0.856 0.049 0.046
536 0.855 0.049 0.046
541 0.855 0.050 0.047
545 0.854 0.051 0.048
550 0.852 0.051 0.048
554 0.852 0.052 0.049
559 0.851 0.053 0.050
564 0.850 0.053 0.050
568 0.849 0.054 0.051
573 0.849 0.055 0.052
577 0.848 0.055 0.053
582 0.847 0.056 0.054
587 0.846 0.057 0.054
591 0.845 0.057 0.055
596 0.844 0.058 0.056
601 0.843 0.058 0.057
605 0.842 0.058 0.058
610 0.842 0.059 0.058
614 0.840 0.059 0.059
619 0.839 0.060 0.060
624 0.839 0.060 0.060
628 0.838 0.060 0.061
633 0.837 0.060 0.062
637 0.836 0.060 0.062
642 0.836 0.060 0.062
647 0.835 0.059 0.062
651 0.834 0.059 0.063
656 0.834 0.059 0.063
660 0.833 0.058 0.063
665 0.833 0.058 0.063
670 0.832 0.057 0.063
674 0.831 0.057 0.063
679 0.831 0.056 0.062
683 0.831 0.054 0.061
688 0.831 0.053 0.061
693 0.830 0.053 0.061
697 0.829 0.052 0.060
702 0.829 0.050 0.059
707 0.829 0.049 0.058
711 0.829 0.048 0.057
716 0.828 0.047 0.056
720 0.827 0.045 0.056
725 0.827 0.044 0.054
730 0.827 0.042 0.053
734 0.827 0.041 0.052
739 0.826 0.040 0.051
743 0.824 0.039 0.051
748 0.824 0.038 0.050
753 0.823 0.036 0.048
757 0.823 0.035 0.047
762 0.821 0.034 0.046
766 0.819 0.033 0.046
771 0.818 0.033 0.046
776 0.816 0.032 0.046
780 0.815 0.031 0.045
785 0.813 0.031 0.044
789 0.811 0.031 0.044
794 0.808 0.031 0.045
799 0.805 0.032 0.046
803 0.802 0.033 0.046
808 0.800 0.033 0.046
813 0.797 0.034 0.047
817 0.794 0.035 0.048
822 0.790 0.037 0.050
826 0.785 0.039 0.052
831 0.780 0.042 0.055
836 0.776 0.044 0.057
840 0.772 0.047 0.058
845 0.767 0.049 0.060
849 0.762 0.053 0.063
854 0.756 0.057 0.067
859 0.749 0.062 0.073
863 0.737 0.071 0.084
868 0.733 0.073 0.084
872 0.726 0.078 0.089
877 0.717 0.085 0.094
882 0.709 0.089 0.098
886 0.699 0.097 0.105
891 0.689 0.104 0.111
895 0.680 0.111 0.118
900 0.673 0.117 0.123
905 0.666 0.125 0.130
909 0.659 0.133 0.138
914 0.654 0.139 0.143
919 0.646 0.150 0.154
923 0.637 0.158 0.162
928 0.628 0.167 0.170
932 0.617 0.178 0.180
937 0.607 0.188 0.190
942 0.598 0.196 0.198
946 0.590 0.205 0.205
951 0.580 0.215 0.214
955 0.571 0.224 0.222
960 0.564 0.231 0.229
965 0.554 0.242 0.239
969 0.544 0.253 0.249
974 0.534 0.263 0.258
978 0.524 0.273 0.268
983 0.513 0.285 0.279
988 0.503 0.294 0.287
992 0.494 0.304 0.294
997 0.484 0.313 0.301
1002 0.475 0.322 0.309
1006 0.466 0.332 0.317
1011 0.458 0.342 0.326
1015 0.449 0.352 0.337
1020 0.440 0.363 0.348
1025 0.431 0.373 0.359
1029 0.423 0.384 0.369
1034 0.415 0.393 0.378
1038 0.407 0.402 0.386
1043 0.400 0.411 0.394
1048 0.393 0.419 0.402
1052 0.385 0.428 0.411
1057 0.378 0.437 0.419
1061 0.370 0.446 0.428
1066 0.362 0.455 0.436
1071 0.355 0.464 0.445
1075 0.347 0.473 0.454
1080 0.339 0.482 0.462
1084 0.332 0.490 0.470
1089 0.326 0.498 0.477
1094 0.320 0.506 0.484
1098 0.313 0.513 0.489
1103 0.306 0.520 0.493
1108 0.298 0.527 0.494
1112 0.290 0.534 0.493
1117 0.281 0.541 0.491
1121 0.272 0.549 0.486
1126 0.262 0.556 0.481
1131 0.252 0.563 0.473
1135 0.242 0.571 0.464
1140 0.233 0.577 0.454
1144 0.224 0.584 0.443
1149 0.214 0.590 0.431
1154 0.205 0.596 0.416
1158 0.197 0.601 0.402
1163 0.189 0.607 0.389
1167 0.182 0.612 0.381
1172 0.178 0.617 0.380
1177 0.176 0.623 0.389
1181 0.175 0.629 0.405
1186 0.175 0.635 0.423
1190 0.175 0.641 0.445
1195 0.177 0.647 0.472
1200 0.178 0.652 0.498
1204 0.178 0.657 0.522
1209 0.178 0.662 0.543
1214 0.178 0.666 0.562
1218 0.177 0.671 0.577
1223 0.175 0.675 0.589
1227 0.173 0.679 0.599
1232 0.171 0.683 0.607
1237 0.168 0.687 0.614
1241 0.166 0.691 0.621
1246 0.163 0.695 0.628
1250 0.161 0.699 0.634
1255 0.158 0.703 0.641
1260 0.156 0.707 0.647
1264 0.153 0.711 0.653
1269 0.151 0.715 0.658
1273 0.148 0.719 0.662
1278 0.145 0.722 0.666
1283 0.143 0.726 0.668
1287 0.140 0.729 0.670
1292 0.138 0.732 0.671
1296 0.135 0.735 0.672
1301 0.133 0.738 0.672
1306 0.130 0.741 0.671
1310 0.128 0.744 0.670
1315 0.125 0.747 0.666
1320 0.122 0.749 0.657
1324 0.118 0.752 0.642
1329 0.114 0.755 0.620
1333 0.108 0.758 0.588
1338 0.103 0.761 0.551
1343 0.097 0.763 0.515
1347 0.092 0.766 0.484
1352 0.088 0.768 0.460
1356 0.084 0.771 0.441
1361 0.081 0.773 0.426
1366 0.078 0.776 0.414
1370 0.076 0.778 0.405
1375 0.074 0.780 0.400
1379 0.073 0.782 0.399
1384 0.072 0.784 0.401
1389 0.071 0.786 0.405
1393 0.071 0.788 0.410
1398 0.070 0.790 0.417
1403 0.070 0.793 0.423
1407 0.069 0.795 0.428
