{ Units, Wavelength Units } SI Nanometers
{ Thickness } 3
{ Conductivity } 0.2
{ IR Transmittance } TIR=0
{ Emissivity, front back } Emis= 0.9 0.9
{ Manufacturer: Roehm }
{ Type: Coated }
{ Coated Side: Front }
{ Material: PMMA }

250 0.000 0.047 0.047
255 0.000 0.047 0.047
260 0.000 0.048 0.048
265 0.002 0.048 0.048
270 0.003 0.048 0.048
275 0.003 0.047 0.047
280 0.001 0.047 0.047
285 0.001 0.047 0.047
290 0.000 0.047 0.047
295 0.000 0.047 0.047
300 0.000 0.046 0.046
305 0.000 0.046 0.046
310 0.001 0.046 0.046
315 0.002 0.046 0.046
320 0.001 0.046 0.046
325 0.001 0.046 0.046
330 0.000 0.046 0.046
335 0.000 0.045 0.045
340 0.000 0.045 0.045
345 0.000 0.045 0.045
350 0.001 0.045 0.045
355 0.002 0.045 0.045
360 0.005 0.045 0.045
365 0.018 0.045 0.045
370 0.069 0.045 0.045
375 0.214 0.047 0.047
380 0.444 0.055 0.055
385 0.659 0.065 0.065
390 0.794 0.074 0.074
395 0.860 0.080 0.080
400 0.889 0.082 0.082
405 0.900 0.083 0.083
410 0.906 0.084 0.084
415 0.909 0.084 0.084
420 0.910 0.083 0.083
425 0.911 0.084 0.084
430 0.913 0.083 0.083
435 0.912 0.083 0.083
440 0.913 0.084 0.084
445 0.914 0.083 0.083
450 0.913 0.083 0.083
455 0.914 0.083 0.083
460 0.914 0.083 0.083
465 0.916 0.083 0.083
470 0.915 0.083 0.083
475 0.917 0.083 0.083
480 0.915 0.083 0.083
485 0.917 0.083 0.083
490 0.915 0.083 0.083
495 0.917 0.082 0.082
500 0.916 0.083 0.083
505 0.917 0.083 0.083
510 0.917 0.083 0.083
515 0.916 0.083 0.083
520 0.918 0.083 0.083
525 0.917 0.083 0.083
530 0.917 0.083 0.083
535 0.918 0.082 0.082
540 0.917 0.082 0.082
545 0.918 0.082 0.082
550 0.916 0.082 0.082
555 0.917 0.082 0.082
560 0.919 0.082 0.082
565 0.918 0.082 0.082
570 0.918 0.082 0.082
575 0.919 0.082 0.082
580 0.918 0.082 0.082
585 0.919 0.082 0.082
590 0.920 0.082 0.082
595 0.919 0.082 0.082
600 0.919 0.082 0.082
605 0.920 0.082 0.082
610 0.919 0.081 0.081
615 0.919 0.082 0.082
620 0.920 0.082 0.082
625 0.920 0.081 0.081
630 0.920 0.081 0.081
635 0.921 0.082 0.082
640 0.921 0.081 0.081
645 0.922 0.081 0.081
650 0.923 0.081 0.081
655 0.923 0.082 0.082
660 0.923 0.081 0.081
665 0.923 0.081 0.081
670 0.924 0.081 0.081
675 0.925 0.082 0.082
680 0.923 0.081 0.081
685 0.924 0.080 0.080
690 0.924 0.081 0.081
695 0.924 0.082 0.082
700 0.923 0.082 0.082
705 0.923 0.081 0.081
710 0.924 0.080 0.080
715 0.924 0.081 0.081
720 0.923 0.082 0.082
725 0.921 0.081 0.081
730 0.920 0.080 0.080
735 0.921 0.080 0.080
740 0.923 0.081 0.081
745 0.924 0.082 0.082
750 0.923 0.081 0.081
755 0.923 0.080 0.080
760 0.925 0.080 0.080
765 0.928 0.081 0.081
770 0.927 0.082 0.082
775 0.926 0.082 0.082
780 0.923 0.080 0.080
785 0.923 0.079 0.079
790 0.926 0.080 0.080
795 0.927 0.081 0.081
800 0.926 0.082 0.082
805 0.924 0.082 0.082
810 0.920 0.080 0.080
815 0.921 0.079 0.079
820 0.923 0.079 0.079
825 0.926 0.081 0.081
830 0.925 0.083 0.083
835 0.924 0.082 0.082
840 0.921 0.081 0.081
845 0.920 0.079 0.079
850 0.921 0.079 0.079
855 0.921 0.080 0.080
860 0.922 0.082 0.082
865 0.919 0.096 0.096
870 0.916 0.078 0.078
875 0.912 0.088 0.088
880 0.907 0.081 0.081
885 0.902 0.084 0.084
890 0.897 0.083 0.083
895 0.893 0.085 0.085
900 0.894 0.083 0.083
905 0.897 0.083 0.083
910 0.902 0.086 0.086
915 0.908 0.082 0.082
920 0.914 0.086 0.086
925 0.918 0.086 0.086
930 0.921 0.086 0.086
935 0.923 0.090 0.090
940 0.924 0.090 0.090
945 0.925 0.088 0.088
950 0.924 0.089 0.089
955 0.923 0.089 0.089
960 0.922 0.085 0.085
965 0.920 0.086 0.086
970 0.918 0.087 0.087
975 0.916 0.087 0.087
980 0.912 0.088 0.088
985 0.909 0.090 0.090
990 0.906 0.087 0.087
995 0.903 0.087 0.087
1000 0.900 0.085 0.085
1005 0.899 0.084 0.084
1010 0.900 0.084 0.084
1015 0.901 0.086 0.086
1020 0.903 0.087 0.087
1025 0.905 0.088 0.088
1030 0.906 0.090 0.090
1035 0.907 0.089 0.089
1040 0.908 0.089 0.089
1045 0.910 0.088 0.088
1050 0.912 0.086 0.086
1055 0.915 0.087 0.087
1060 0.917 0.087 0.087
1065 0.919 0.088 0.088
1070 0.921 0.089 0.089
1075 0.922 0.091 0.091
1080 0.923 0.092 0.092
1085 0.922 0.092 0.092
1090 0.919 0.091 0.091
1095 0.915 0.090 0.090
1100 0.909 0.088 0.088
1105 0.901 0.086 0.086
1110 0.888 0.085 0.085
1115 0.872 0.083 0.083
1120 0.850 0.082 0.082
1125 0.825 0.081 0.081
1130 0.796 0.080 0.080
1135 0.766 0.079 0.079
1140 0.736 0.077 0.077
1145 0.706 0.075 0.075
1150 0.674 0.073 0.073
1155 0.641 0.069 0.069
1160 0.608 0.066 0.066
1165 0.582 0.064 0.064
1170 0.566 0.062 0.062
1175 0.567 0.061 0.061
1180 0.585 0.064 0.064
1185 0.609 0.067 0.067
1190 0.634 0.070 0.070
1195 0.674 0.075 0.075
1200 0.711 0.078 0.078
1205 0.744 0.081 0.081
1210 0.773 0.084 0.084
1215 0.798 0.085 0.085
1220 0.817 0.085 0.085
1225 0.830 0.085 0.085
1230 0.840 0.084 0.084
1235 0.847 0.084 0.084
1240 0.853 0.084 0.084
1245 0.857 0.084 0.084
1250 0.862 0.085 0.085
1255 0.865 0.087 0.087
1260 0.868 0.088 0.088
1265 0.870 0.089 0.089
1270 0.871 0.091 0.091
1275 0.871 0.092 0.092
1280 0.870 0.093 0.093
1285 0.869 0.092 0.092
1290 0.868 0.091 0.091
1295 0.866 0.090 0.090
1300 0.864 0.088 0.088
1305 0.861 0.086 0.086
1310 0.857 0.085 0.085
1315 0.849 0.083 0.083
1320 0.835 0.082 0.082
1325 0.810 0.080 0.080
1330 0.771 0.077 0.077
1335 0.719 0.075 0.075
1340 0.662 0.072 0.072
1345 0.609 0.068 0.068
1350 0.566 0.066 0.066
1355 0.534 0.065 0.065
1360 0.509 0.063 0.063
1365 0.488 0.063 0.063
1370 0.474 0.061 0.061
1375 0.465 0.060 0.060
1380 0.463 0.060 0.060
1385 0.466 0.059 0.059
1390 0.472 0.057 0.057
1395 0.480 0.057 0.057
1400 0.489 0.056 0.056
1405 0.496 0.057 0.057
1410 0.499 0.057 0.057
1415 0.499 0.058 0.058
1420 0.501 0.059 0.059
1425 0.507 0.060 0.060
1430 0.519 0.062 0.062
1435 0.539 0.064 0.064
1440 0.564 0.066 0.066
1445 0.594 0.069 0.069
1450 0.626 0.071 0.071
1455 0.655 0.073 0.073
1460 0.680 0.075 0.075
1465 0.698 0.076 0.076
1470 0.712 0.076 0.076
1475 0.725 0.075 0.075
1480 0.737 0.076 0.076
1485 0.749 0.076 0.076
1490 0.760 0.076 0.076
1495 0.770 0.075 0.075
1500 0.778 0.076 0.076
1505 0.785 0.076 0.076
1510 0.791 0.076 0.076
1515 0.796 0.076 0.076
1520 0.800 0.077 0.077
1525 0.802 0.078 0.078
1530 0.804 0.080 0.080
1535 0.805 0.081 0.081
1540 0.804 0.082 0.082
1545 0.802 0.082 0.082
1550 0.799 0.084 0.084
