{ Units, Wavelength Units } SI Nanometers
{ Thickness } 3
{ Conductivity } 1.0
{ IR Transmittance } TIR=0
{ Emissivity, front back } Emis= 0.9 0.06
{ Manufacturer: Roehm }
{ Type: Coated }
{ Coated Side: Front}
{ Material: PMMA }

204 0.010 0.081 0.045
209 0.011 0.089 0.045
213 0.012 0.103 0.045
218 0.013 0.120 0.045
223 0.014 0.141 0.045
227 0.015 0.164 0.045
232 0.015 0.188 0.045
236 0.016 0.213 0.045
241 0.017 0.224 0.045
246 0.018 0.252 0.045
250 0.018 0.278 0.045
255 0.019 0.302 0.045
259 0.020 0.323 0.045
264 0.021 0.342 0.045
269 0.021 0.358 0.045
273 0.022 0.371 0.046
278 0.023 0.382 0.046
282 0.024 0.390 0.046
287 0.026 0.396 0.046
292 0.027 0.400 0.046
296 0.028 0.407 0.046
301 0.030 0.400 0.046
306 0.032 0.390 0.046
310 0.034 0.379 0.046
315 0.036 0.367 0.046
319 0.039 0.353 0.047
324 0.032 0.338 0.046
329 0.027 0.323 0.046
333 0.023 0.308 0.045
338 0.022 0.292 0.045
342 0.023 0.276 0.045
347 0.029 0.260 0.045
352 0.041 0.243 0.045
356 0.063 0.228 0.046
361 0.100 0.212 0.049
365 0.161 0.197 0.054
370 0.269 0.185 0.070
375 0.406 0.174 0.096
379 0.548 0.167 0.128
384 0.653 0.159 0.149
388 0.717 0.151 0.158
393 0.757 0.141 0.156
398 0.781 0.132 0.151
402 0.795 0.122 0.143
407 0.807 0.113 0.134
412 0.818 0.106 0.127
416 0.826 0.098 0.119
421 0.834 0.091 0.112
425 0.842 0.085 0.107
430 0.847 0.079 0.100
435 0.853 0.074 0.094
439 0.859 0.070 0.091
444 0.863 0.065 0.085
448 0.866 0.061 0.081
453 0.871 0.059 0.078
458 0.875 0.055 0.074
462 0.876 0.052 0.071
467 0.878 0.051 0.069
471 0.882 0.049 0.067
476 0.884 0.047 0.064
481 0.885 0.045 0.063
485 0.886 0.044 0.061
490 0.888 0.043 0.059
494 0.890 0.041 0.056
499 0.890 0.040 0.055
504 0.889 0.041 0.055
508 0.891 0.040 0.054
513 0.893 0.038 0.052
518 0.893 0.037 0.050
522 0.893 0.038 0.051
527 0.892 0.038 0.051
531 0.893 0.037 0.049
536 0.895 0.036 0.047
541 0.895 0.036 0.047
545 0.894 0.037 0.047
550 0.892 0.037 0.047
554 0.893 0.036 0.045
559 0.894 0.035 0.044
564 0.894 0.035 0.044
568 0.893 0.036 0.044
573 0.892 0.036 0.044
577 0.891 0.036 0.043
582 0.891 0.035 0.042
587 0.892 0.035 0.041
591 0.891 0.036 0.042
596 0.890 0.037 0.043
601 0.889 0.037 0.043
605 0.887 0.037 0.042
610 0.886 0.036 0.041
614 0.887 0.037 0.041
619 0.887 0.038 0.042
624 0.885 0.040 0.043
628 0.883 0.041 0.044
633 0.883 0.041 0.043
637 0.880 0.040 0.043
642 0.879 0.041 0.042
647 0.880 0.042 0.043
651 0.878 0.044 0.045
656 0.875 0.046 0.047
660 0.873 0.048 0.048
665 0.872 0.048 0.048
670 0.870 0.049 0.048
674 0.867 0.049 0.048
679 0.866 0.051 0.050
683 0.864 0.054 0.052
688 0.861 0.057 0.055
693 0.858 0.060 0.057
697 0.856 0.062 0.059
702 0.854 0.063 0.059
707 0.852 0.064 0.060
711 0.848 0.065 0.061
716 0.844 0.068 0.063
720 0.842 0.071 0.067
725 0.839 0.076 0.071
730 0.835 0.080 0.074
734 0.831 0.083 0.077
739 0.829 0.085 0.079
743 0.826 0.087 0.080
748 0.823 0.089 0.082
753 0.818 0.091 0.084
757 0.814 0.095 0.087
762 0.810 0.100 0.091
766 0.806 0.105 0.097
771 0.801 0.110 0.101
776 0.796 0.115 0.106
780 0.792 0.118 0.109
785 0.789 0.121 0.112
789 0.786 0.124 0.114
794 0.783 0.127 0.116
799 0.777 0.130 0.119
803 0.771 0.135 0.123
808 0.766 0.140 0.128
813 0.761 0.146 0.134
817 0.756 0.153 0.140
822 0.750 0.158 0.146
826 0.745 0.164 0.151
831 0.740 0.168 0.155
836 0.736 0.172 0.158
840 0.732 0.175 0.162
845 0.728 0.179 0.165
849 0.723 0.183 0.168
854 0.716 0.188 0.172
859 0.711 0.193 0.178
863 0.703 0.200 0.183
868 0.695 0.209 0.193
872 0.689 0.215 0.199
877 0.682 0.221 0.203
882 0.675 0.225 0.206
886 0.669 0.229 0.209
891 0.663 0.237 0.217
895 0.657 0.239 0.217
900 0.652 0.241 0.218
905 0.648 0.246 0.222
909 0.644 0.251 0.227
914 0.640 0.256 0.233
919 0.636 0.261 0.238
923 0.631 0.269 0.247
928 0.626 0.276 0.256
932 0.621 0.283 0.263
937 0.616 0.289 0.268
942 0.611 0.294 0.274
946 0.606 0.301 0.281
951 0.600 0.305 0.285
955 0.595 0.310 0.289
960 0.590 0.316 0.296
965 0.585 0.321 0.299
969 0.579 0.325 0.302
974 0.573 0.329 0.305
978 0.567 0.334 0.309
983 0.561 0.339 0.313
988 0.555 0.344 0.317
